ArticleName,ArticleLink
How do I access the Minitab Web App?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=13bfa9ac1bd23c50108915ff034bcba8
Access Your Penn State Google Workspace for Education Account,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e5a644a8dba368547fb5266e139619fe
Oﬀice365: Configure Mail App on Android,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7cef164bdb2070902c4f9e74f396190e
Canvas: How to Incorporate Learning Tool Integrations (LTIs) in Your Course,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f916c6f5db9f54902c4f9e74f39619fb
Zoom: How Do I Add My Profile Picture in Zoom?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7b85f9c4dbd1bcd07fb5266e13961937
Telephony - Phone and Voice Mail Documentation,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=961b2ecfdb4dd01429b24a2813961977
GlobalProtect Remote Access VPN - Supported Agent Versions,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d223c8e6db4830542c4f9e74f3961953
Zoom: Access Zoom Cloud Recordings in Kaltura,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1cdee50adba6bc549cde83aa13961916
Unified Communications via Cisco Jabber - Introduction,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=24214e7fdb5770906ff9e1f5ca9619bb
Oﬀice 365: FAQs--Outlook (Email and Calendar),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=accec0bbdb60bc907fb5266e1396196a
Zoom: Prevent and Manage Meeting Disruptions (aka Zoom-Bombing),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1b52f368db2aa0107fb5266e1396195a
Canvas: Use LionPATH to Pull Final Grades from Canvas,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=be51257f1b05bcd013b599ba234bcbb9
2FA: Enroll in Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=21dc1b7cdb76fc109cde83aa139619be
Telephony - My.VoIP Portal FAQs & Troubleshooting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=4d434834db38bcd029b24a281396192f
Zoom: Check Attendance for a Meeting or Webinar,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1a29ef34db5b5c107fb5266e139619c7
Starfish: Use Canvas Grade and the Zoom In Feature,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=3ca5b1b5db44789029b24a2813961926
Starfish: Manually Raise Flags or Kudos,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=5afc1f56db8030d029b24a281396192f
Oﬀice 365: FAQs--General,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=faf814271b24749013b599ba234bcb07
Canvas: Prides,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=96caa707dbedd4d029b24a28139619ff
"GlobalProtect Remote Access VPN - macOS 10.x Download, Install, and Set up",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=88eb73eb1b4bf094108915ff034bcb22
How do I configure my machine to use Penn State's Microsoft KMS?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=92bdd980dbeb105429b24a2813961997
Canvas: Use the Zoom Learning Tool to Schedule and Start a Meeting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d9aa2655db04941029b24a2813961918
Telephony Pricing & Fees,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=edc01e731b09fcd013b599ba234bcb2d
Canvas: Self-Restore an Archived Course,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=c946ab60db21fc902c4f9e74f39619cb
Recover My Forgotten or Inactive Penn State Account,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=20ef6462dbe4bc507fb5266e139619c5
Unified Communications via Cisco Jabber - FAQs,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b36298201b15781413b599ba234bcb5c
Zoom: FAQs & Troubleshooting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=aa3458f0dbe6e0102c4f9e74f396198e
2FA: Replace My 2FA Enrolled Phone with a New Phone,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=c71db9981bd8309413b599ba234bcb9d
Zoom: How to Log In and Start a Meeting or Webinar,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=77e33b1ddb7d389029b24a2813961932
Canvas: Course Sandboxes and Master or Manually Enrolled Courses,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=c08c4f7b1bf72c9013b599ba234bcb31
Oﬀice 365 Outlook iOS: Configuring Outlook on iOS,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f65cd57b1b81bcd013b599ba234bcb7b
2FA: Add (Enroll) a Smartphone for Use with 2FA with the Help of a Laptop or Desktop Computer,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=bcd4ed8edbc3b0549cde83aa13961958
Oﬀice 365: Manage Email Forwarding using Outlook on the Web,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=16f3599b1b20485c40a242a2cd4bcbdf
Canvas: Opt-Out of Course Archiving,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=c4e56facdbedbc902c4f9e74f3961938
Canvas: Embed Kaltura Media in a Canvas Course,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=ac4ea6ed1b2124d013b599ba234bcb49
Access Account: Create a Penn State Access Account - Step-by-Step Instructions,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=69eeea7a1b55c8507746766dcc4bcb76
2FA: How to Authenticate with Duo Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=6f01b82c1b9f8cd07746766dcc4bcbb7
Zoom: Change Webinar Settings for Hosts,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a1b8dc69dbf9789029b24a2813961927
2FA: Why Must Students Enroll in Two-Factor Authentication?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f76bcfd8dbe4d8dc7fb5266e1396193a
Starfish: Provide Information to Student's Academic Support Network,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d368e6c6db883c9029b24a28139619e4
Adobe Creative Cloud: Accessing Adobe CC applications and addressing error messages,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=135c89fe1b873b4c7746766dcc4bcbdc
Configure your PSU Oﬀice 365 email account in the Android Gmail app,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7ffc51bf1b81bcd013b599ba234bcb2c
VoIP Device Pricing & Fees,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=af4b4e7f1b45fcd013b599ba234bcbd6
The New Penn State Sign In - Coming July 7,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=8582a842db74f4147fb5266e13961924
Zoom: Add Gender or Identity Pronouns to Your Zoom profile.,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=496753241bb3f8d01b31113fad4bcb25
Canvas: Preparing an Exam for the Pollock Testing Center,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=c143368c1b3affc87746766dcc4bcb62
Canvas: Use the Zoom Learning Tool to Participate in a Meeting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=87f1bec81b0c50d0ec6a7661cd4bcbcb
SIMBA: Penn State Supplier Registration Guide,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=520e780ddbf4f0d02c4f9e74f39619b5
Oﬀice 365: Schedule a Meeting on Behalf of Another User in Outlook,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=76cf1c4ddbd8acd429b24a28139619d6
WebLabs: Accessing Remote WebLabs,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f5d29b1adb2e7c946ff9e1f5ca9619c9
Box: Pre-Migration Preparation of Box Files,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=3a6d9865dbfda8102c4f9e74f39619ff
What is a Sponsored Account and Why Might I Need One?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=cb777060dba474107fb5266e13961932
LinkedIn Learning: Replace Lynda.com Links with Links to LinkedIn Learning,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=bdd710dbdbfc5c507fb5266e1396196e
Unified Communications via Cisco Jabber: How to Install Cisco Jabber for Windows,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=49ec278adbda38d06ff9e1f5ca961925
Data Warehouse: Obtaining Access,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d2a069511b9980147746766dcc4bcb4d
Oﬀice 365: FAQs--Applications and Security,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=cf23367edb2e18d89cde83aa1396194e
Starfish: Requesting Access to Starfish,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f3914f261b7bf0107eee55351a4bcb95
LinkedIn Learning: Access Your Penn State LinkedIn Learning Account and Connect a LinkedIn ,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=29e477b21bb2bfc0ec6a7661cd4bcbd1
Canvas: Adding Polls to Zoom Meetings in Canvas Using CSV Files,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f99542631bffe49013b599ba234bcb7b
2FA: Add (Enroll) Another Device for Use with Two-Factor Authentication (I'm Currently Enrolled),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7746f9781b4580d840a242a2cd4bcb46
2FA: Trouble Logging In with Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=5dcc898edb3038147fb5266e1396190c
Oﬀice 365 Outlook Windows: Manually Adding Oﬀice 365 email account to Outlook 2013/2016,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=67d90278db9358107fb5266e1396196a
"GlobalProtect Remote Access VPN - macOS 11.x Download, Install, and Set up",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7e4748731b8ff094108915ff034bcb08
CRCS: How-To Articles,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=06393a711b58281413b599ba234bcb90
2FA: Why Does Penn State Require Faculty and Staﬀ to Enroll in Two-Factor Authentication?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=37bdca0ddb2418507fb5266e13961942
Telephony - How to forward your phone calls,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b3fe28d5db9be0d07fb5266e139619c4
ServiceNow: Subscribe or Unsubscribe to Penn State IT Alert Notifications,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=2a7f562fdb9edcd09cde83aa139619d9
"Access Account: Problem Logging in to Penn State Service or Website and Not an Active Student, Facu lty or Staﬀ",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=069d66f8db429498816667e8139619d3
personal.psu.edu web space FAQ,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1e6eea46db9ab4d06ff9e1f5ca961982
Zoom: Join Multiple Meetings Simultaneously,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d0af52f51bfbd01813b599ba234bcbe1
Unified Communications via Cisco Jabber - How to Reset Client,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=691da30edbda38d06ff9e1f5ca96198a
2FA: What Devices and Methods Can I Use for Two-Factor Authentication?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=ef6ad5ebdb54fc182c4f9e74f39619c1
Canvas: Merge and Unmerge Courses,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=9f267ecc1bc3e890108915ff034bcbbf
Telephony: Verifying or Changing the Ownership of a Voicemail or VoIP Telephone,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=972fd9bf1bc1bcd013b599ba234bcb85
Canvas: Gradebook Overview,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=cf88e311db96a8102c4f9e74f39619e4
EAD: Reset Forgotten Password for EAD Admin Account NOT Managed By CyberArk,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f9c7d933db09b8d07fb5266e13961933
Oﬀice 365 Teams: Create Live Events in Teams,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=bbf9ff49db5b505029b24a281396195d
Zoom: Change Meeting Settings for Hosts,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=44a305cc1bbf9c5413b599ba234bcb0c
Canvas: Request a Course Sandbox,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1d3a1aff1b77e89013b599ba234bcb1d
Unified Communications via Cisco Jabber: How to install Cisco Jabber for iOS,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=40e08a681b7b5c9413b599ba234bcb49
Telephony - VoIP Phone Set Ownership and Maintenance Policy,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=96ad6f1e1b01ac9013b599ba234bcbea
MobilePrint - Setup and use instructions,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=dd564a34dbb694d46ff9e1f5ca961943
Canvas: Request a Master Course,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=17643783dba118d029b24a2813961963
Pinnacle - General Information and Support,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=fdbda8cedb1adcd4816667e8139619ea
How do I access the TLT Linux Cluster?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=aab6f5dcdbc134507fb5266e13961961
LinkedIn Learning: Embed a Video into Canvas,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=63b2df79db1e3c909cde83aa139619d7
VPN: Install and Run VPN on a Linux OS,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=174ff3ef1b8bf094108915ff034bcb6a
Top Hat: Account Activation and Set Up for Students,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=476eb94edb47e81029b24a28139619b1
Canvas: Use the Zoom Learning Tool to Record a Meeting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b4816293dbe270d49cde83aa1396194b
Kaltura: Uploading Media to My Media From Your Computer,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a6cd9571dba864102c4f9e74f3961941
Oﬀice 365 Outlook PC: Setting Automatic Replies,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b9050ef8db5f18107fb5266e139619a7
Starfish: Basics of Working with Starfish,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d0843dfddb04789029b24a2813961947
"GlobalProtect Remote Access VPN - Linux OS Download, Install, and Set up",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a509bfd6dbddb4107fb5266e13961964
Canvas: Add Gender and Identity Pronouns to Your Name,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f55bc7371bf72c9013b599ba234bcbf2
Telephony - How to reset your Voicemail PIN,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1b6521fddb8bf0546ff9e1f5ca9619e9
WebSSO: Install OpenID Connect module on Linux with Azure SSO,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=41996f6edb1474182c4f9e74f3961974
PASS: Getting Started with Penn State Access Account Storage Space (PASS),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a4000eacdb0070d07fb5266e1396194b
Canvas: Merging Courses,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d23939aedbfae4509cde83aa13961916
2FA: Add (Enroll) a Duo Hardware Token for Use with Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=3c40b0cd1bf5c45440a242a2cd4bcb27
"A Comparison of Communication and Collaboration Features in Outlook, Oﬀice 365, UMGs, and Listse rvs at Penn State",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=3e875b5adbb5d8949cde83aa1396198b
2FA: What is Two-Factor Authentication (2FA)?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=682bbb051b34009cd4eeea0dad4bcb01
2FA: Requirements for Using a Smartphone for Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e7aa49cedb4b70549cde83aa13961910
Canvas: Search and Filter Kaltura Media to Add to My Course,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=73c6e2b31b82f0501b31113fad4bcb0b
Zoom: Locking a Meeting to Control Access,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f0765b55db0c581029b24a28139619ee
Pinnacle - FAQs,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=fb53bf921bc1ac9013b599ba234bcb71
Unified Communications via Cisco Jabber - How to fix Audio Issues,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=696391b7db3e20d0816667e8139619fa
Wireless Update 2019 - Download Device Updates,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=1e51c8051baf3b087746766dcc4bcb92
Canvas: Manage Your Course Roster via the People Page,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=22403375dbd05c5829b24a2813961985
How to Register your phone,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=205b6430db4be8906ff9e1f5ca961904
Canvas: What Kaltura Tools are Available in Canvas?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=50f3f3f9dbfb241029b24a28139619ff
Canvas: Prerequisites for Final Grades for LionPATH,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e59b45771ba6f3c87746766dcc4bcbc3
Unified Communications via Cisco Jabber: How to install Cisco Jabber for Android,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=4716fd7f1bff8490ec6a7661cd4bcb3f
How do I connect to the Penn State wireless?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=2e3dc3d3db3dbcd02c4f9e74f39619f7
PASS: Connect to your PASS Space from a Windows Computer,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f1e87c22db93a41429b24a2813961964
Kaltura: Order and Edit Machine Captions,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b270c49edbda70d09cde83aa1396195c
EAD: Onboarding Process Overview (Enterprise Active Directory),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=960e56711b9df38c40a242a2cd4bcb62
Canvas: Roles and Permissions,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=6bd5db431b7a7890108915ff034bcb23
Zoom: Delete Cloud Recordings,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=8f5ca04edb77a0507fb5266e13961928
2FA: Software Update Notification - Your Computer Software is Out of Date,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a0f3f9dddbd8b0d42c4f9e74f3961962
Starfish: Log in to Starfish,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=091b3831db80389029b24a2813961999
Box: Pre-Migration Preparation of Non-Person Account Folders and Files,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=aecfdc21db31e8102c4f9e74f3961948
"Starfish: Publish, Edit, or Cancel Your Oﬀice Hours",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=cafe93dedb8030d029b24a28139619f1
Kaltura: What are My Publishing Options in MediaSpace?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=bc5a0712db40d0d029b24a281396198e
Telephony: Single Inbox - Index of Informational Articles,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=ebe71216db742cd07fb5266e1396191d
"2FA: Lost, Stolen, or Damaged Two-Factor Authentication Device",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=77ab4d9edb5c7cd42c4f9e74f39619ae
Canvas: Add a PDF or Calculator to an Exam for the Pollock Testing Center,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=bf32f249dbc3b4149cde83aa1396197b
2FA: Error Message - An SSL Error Has Occurred and a Secure Connection to the Server Cannot be Ma de,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=5303e74d1b5df70c40a242a2cd4bcb38
"2FA: How Do I Use ""Remember Me"" for Two-Factor Authentication?",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=9d8bd56fdb54fc182c4f9e74f39619f0
Kaltura: Embed Media with the Share Tab,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e7af1fc7dbe0b0902c4f9e74f3961918
Top Hat: Account Activation and Set Up for Instructors,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=9c6772dc1b07ac90108915ff034bcb2e
2FA: Unenroll from Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=6bae3a1e1bfe5498108915ff034bcb17
What Happened to the Old IT Knowledge Base?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=85307f411b9d3b0c40a242a2cd4bcbf3
Canvas: Overview of Google Assignments LTI,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a5e17fb4dbbbe01029b24a28139619b2
Telephony - How to manage your Voicemail,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=9ecfd504db4364d0816667e8139619b5
2FA: Add (Enroll) a Tablet for Use with 2FA with the help of a Laptop or Desktop Computer,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=65234f36db94f4182c4f9e74f3961997
Change My Penn State Account Password (I Know My Current Password),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=ba7c2caedb64bc507fb5266e1396195c
Telephony - Domestic Dialing at University Park (UP),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b0d33bd61bc1ac9013b599ba234bcbd1
Canvas: Merge Course Manager,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=9c9d616edb7ae4509cde83aa13961911
"Canvas: Bulk Enrollment Available for Manually Enrolled Courses, Prides, and Teams",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=ed2c03f6db1c9c1c7fb5266e1396191c
Canvas: Using the COVID Schedule Tool,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=30f43878db95641029b24a2813961965
EAD: Onboarding Step 2 - Connect to EAD Remote Admin Apps,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=02d2df9adb0dd0d029b24a28139619fb
2FA: Use the Duo Mobile Push Method of Two-Factor Authentication,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=6991218adb83b0549cde83aa13961998
Oﬀice 365 Outlook: Setting Automatic Replies on the Web,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=87fa43c7db613c102c4f9e74f39619b4
Canvas: Request a Manually Enrolled Course,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=188b6a9fdb5ad4d09cde83aa1396192b
VM Hosting: Getting Started with VM Hosting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b7fc2fc4db99301429b24a2813961942
LinkedIn Learning: Navigate the Interface,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=a58e4770dbf0dc587fb5266e13961955
Cellular: Student Personal Accounts - Benefits & Features,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b7cdc93bdb7a20d0816667e813961964
WebSSO: Install Shibboleth SP on Windows with Azure SSO,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=ba6a64a8db713c5029b24a2813961968
"GlobalProtect Remote Access VPN - Known Issues, Errors, and Resolutions",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e2bada801b7374d01b31113fad4bcb0c
"GlobalProtect Remote Access VPN - iOS Devices Download, Install, and Set up",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e0d933dadbddb4107fb5266e13961973
GlobalProtect Remote Access VPN - Supported Operating System Versions,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b3bc2d191bb37094108915ff034bcbb8
GlobalProtect Remote Access VPN - Help,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=8b3d35e8db0070d07fb5266e139619d8
Oﬀice365: Visio or Project were Removed when Oﬀice 365 was Installed,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=2a97ac561b1df3cc40a242a2cd4bcbca
